technology_mode,year,published,pollutant,value_kg,unit,index_2019_100,ratio_to_2019,signal,signal_interpretation,accounting_method
frozen,2020,1,BENZ,33765126.05576929,kg,88.11099977973642,0.8811099977973642,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,TXYL,126551737.43918665,kg,94.75059672383712,0.9475059672383712,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,MEOH,66523874.719905145,kg,99.58196676193398,0.9958196676193398,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,FORM,57699736.782154635,kg,88.95874239455222,0.8895874239455221,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,STYR,13283984.604136547,kg,103.35776112270571,1.0335776112270572,giallo,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,ETO,94226.87306798795,kg,96.86183642984652,0.9686183642984652,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,PHEN,3562474.9029647023,kg,98.96493067874897,0.9896493067874897,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CYAN,4046722.8630597126,kg,90.000385752535,0.90000385752535,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CL2,1001517.6941426757,kg,94.12196607125826,0.9412196607125826,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,HCL,14398169.999082917,kg,94.81981764260632,0.9481981764260632,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,H2SO4,22699031.33925105,kg,98.71615438030986,0.9871615438030986,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,HF,3200008.991373187,kg,97.16305100746364,0.9716305100746363,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,DIOX,1.7702480576170905,kg,94.81391809082707,0.9481391809082708,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,PFAS,780.1590291594268,kg,65.55023895332752,0.6555023895332752,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CHL_SOLV,,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,PB,195975914.50017166,kg,74.55978300731466,0.7455978300731466,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,HG,903877.1332923694,kg,74.92765634766103,0.7492765634766103,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,AS,43242765.89920762,kg,74.51368974508117,0.7451368974508117,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CD,54436.6177625617,kg,93.150418567015,0.9315041856701499,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CR,710188.7845048495,kg,91.34390359097655,0.9134390359097655,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,NI,1466688.9382891862,kg,82.5122287663995,0.8251222876639951,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,MN,11241408.763933763,kg,81.80889935690678,0.8180889935690678,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,CU,2999303.7246680893,kg,80.93131102994187,0.8093131102994187,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,ZN,106810599.24861374,kg,74.94381536300254,0.7494381536300254,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,SE,249432.18039194538,kg,85.8827720288185,0.8588277202881849,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,COB,155180.01898986017,kg,91.05505098618927,0.9105505098618927,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,SB,106712.37826917482,kg,80.85465480127476,0.8085465480127476,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,BE,17833.273820949336,kg,98.38501920086625,0.9838501920086625,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,TN,1556864894.8673632,kg,107.830193317533,1.07830193317533,arancione,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,NO3,54795914.3870025,kg,97.44907068527193,0.9744907068527193,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,NH3_W,423592.7507365165,kg,96.95575661024753,0.9695575661024753,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,TP,260652033.90543094,kg,105.78836709646279,1.057883670964628,arancione,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,BOD,56496164.46932716,kg,97.21974990698612,0.9721974990698612,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,COD,69893035.53911021,kg,94.34098187175344,0.9434098187175345,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,TSS,547806916.4325244,kg,89.21366184596043,0.8921366184596043,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2020,1,OIL,19467062.06031987,kg,94.71069035231099,0.9471069035231099,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
